rubro,provincia,value,datetime
Manufacturas de origen agropecuario,La Rioja,95.481,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Salta,100.721,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Santiago del Estero,0.911,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Tucumán,167.149,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Mendoza,735.45,1/1/2007 0:00:00
Manufacturas de origen agropecuario,San Juan,180.867,1/1/2007 0:00:00
Manufacturas de origen agropecuario,San Luis,180.37,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Chaco,64.138,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Corrientes,27.991,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Formosa,7.403,1/1/2007 0:00:00
Manufacturas de origen agropecuario,Misiones,216.719,1/1/2007 0:00:00
Manufacturas de origen industrial,Buenos Aires,10593.328,1/1/2007 0:00:00
Manufacturas de origen industrial,Capital Federal,215.895,1/1/2007 0:00:00
Manufacturas de origen industrial,Córdoba,1415.47,1/1/2007 0:00:00
Manufacturas de origen industrial,Entre Ríos,87.505,1/1/2007 0:00:00
Manufacturas de origen industrial,La Pampa,5.584,1/1/2007 0:00:00
Manufacturas de origen industrial,Santa Fe,1572.898,1/1/2007 0:00:00
Manufacturas de origen industrial,Chubut,496.501,1/1/2007 0:00:00
Manufacturas de origen industrial,Neuquén,14.43,1/1/2007 0:00:00
Manufacturas de origen industrial,Río Negro,26.508,1/1/2007 0:00:00
Manufacturas de origen industrial,Santa Cruz,172.581,1/1/2007 0:00:00
Manufacturas de origen industrial,Tierra del Fuego,84.172,1/1/2007 0:00:00
Manufacturas de origen industrial,Catamarca,92.292,1/1/2007 0:00:00
Manufacturas de origen industrial,Jujuy,63.931,1/1/2007 0:00:00
Manufacturas de origen industrial,La Rioja,66.81,1/1/2007 0:00:00
Manufacturas de origen industrial,Salta,78.225,1/1/2007 0:00:00
Manufacturas de origen industrial,Santiago del Estero,23.4,1/1/2007 0:00:00
Manufacturas de origen industrial,Tucumán,269.504,1/1/2007 0:00:00
Manufacturas de origen industrial,Mendoza,169.154,1/1/2007 0:00:00
Manufacturas de origen industrial,San Juan,459.033,1/1/2007 0:00:00
Manufacturas de origen industrial,San Luis,291.354,1/1/2007 0:00:00
Manufacturas de origen industrial,Chaco,8.641,1/1/2007 0:00:00
Manufacturas de origen industrial,Corrientes,10.928,1/1/2007 0:00:00
Manufacturas de origen industrial,Formosa,2.286,1/1/2007 0:00:00
Manufacturas de origen industrial,Misiones,144.356,1/1/2007 0:00:00
Combustibles y energía,Buenos Aires,2957.669,1/1/2007 0:00:00
Combustibles y energía,Capital Federal,0,1/1/2007 0:00:00
Combustibles y energía,Córdoba,0.91,1/1/2007 0:00:00
Combustibles y energía,Entre Ríos,47.108,1/1/2007 0:00:00
Combustibles y energía,La Pampa,12.053,1/1/2007 0:00:00
Combustibles y energía,Santa Fe,388.97,1/1/2007 0:00:00
Combustibles y energía,Chubut,648.051,1/1/2007 0:00:00
Combustibles y energía,Neuquén,578.794,1/1/2007 0:00:00
Combustibles y energía,Río Negro,51.473,1/1/2007 0:00:00
Combustibles y energía,Santa Cruz,318.3,1/1/2007 0:00:00
Combustibles y energía,Tierra del Fuego,286.859,1/1/2007 0:00:00
Combustibles y energía,Catamarca,0,1/1/2007 0:00:00
Combustibles y energía,Jujuy,0,1/1/2007 0:00:00
Combustibles y energía,La Rioja,0,1/1/2007 0:00:00
Combustibles y energía,Salta,452.533,1/1/2007 0:00:00
Combustibles y energía,Santiago del Estero,0,1/1/2007 0:00:00
Combustibles y energía,Tucumán,2.989,1/1/2007 0:00:00
Combustibles y energía,Mendoza,206.891,1/1/2007 0:00:00
Combustibles y energía,San Juan,1.456,1/1/2007 0:00:00
Combustibles y energía,San Luis,0,1/1/2007 0:00:00
Combustibles y energía,Chaco,0,1/1/2007 0:00:00
Combustibles y energía,Corrientes,8.374,1/1/2007 0:00:00
Combustibles y energía,Formosa,11.794,1/1/2007 0:00:00
Combustibles y energía,Misiones,0,1/1/2007 0:00:00
Productos primarios,Buenos Aires,4215.471,1/1/2008 0:00:00
Productos primarios,Capital Federal,0,1/1/2008 0:00:00
Productos primarios,Córdoba,3516.417,1/1/2008 0:00:00
Productos primarios,Entre Ríos,938.626,1/1/2008 0:00:00
Productos primarios,La Pampa,336.005,1/1/2008 0:00:00
Productos primarios,Santa Fe,2085.286,1/1/2008 0:00:00
Productos primarios,Chubut,309.956,1/1/2008 0:00:00
Productos primarios,Neuquén,69.313,1/1/2008 0:00:00
Productos primarios,Río Negro,389.03,1/1/2008 0:00:00
Productos primarios,Santa Cruz,393.035,1/1/2008 0:00:00
Productos primarios,Tierra del Fuego,50.388,1/1/2008 0:00:00
Productos primarios,Catamarca,1137.4,1/1/2008 0:00:00
Productos primarios,Jujuy,180.342,1/1/2008 0:00:00
Productos primarios,La Rioja,1.618,1/1/2008 0:00:00
Productos primarios,Salta,608.382,1/1/2008 0:00:00
Productos primarios,Santiago del Estero,273.467,1/1/2008 0:00:00
Productos primarios,Tucumán,518.335,1/1/2008 0:00:00
Productos primarios,Mendoza,247.863,1/1/2008 0:00:00
Productos primarios,San Juan,126.108,1/1/2008 0:00:00
Productos primarios,San Luis,82.302,1/1/2008 0:00:00
Productos primarios,Chaco,317.202,1/1/2008 0:00:00
Productos primarios,Corrientes,141.101,1/1/2008 0:00:00
Productos primarios,Formosa,7.381,1/1/2008 0:00:00
Productos primarios,Misiones,112.624,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Buenos Aires,5240.632,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Capital Federal,163.685,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Córdoba,4073.988,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Entre Ríos,381.973,1/1/2008 0:00:00
Manufacturas de origen agropecuario,La Pampa,39.582,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Santa Fe,10901.264,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Chubut,213.838,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Neuquén,54.352,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Río Negro,93.645,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Santa Cruz,44.734,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Tierra del Fuego,68.606,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Catamarca,32.769,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Jujuy,61.598,1/1/2008 0:00:00
Manufacturas de origen agropecuario,La Rioja,97.704,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Salta,100.479,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Santiago del Estero,1.706,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Tucumán,223.862,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Mendoza,913.064,1/1/2008 0:00:00
Manufacturas de origen agropecuario,San Juan,231.333,1/1/2008 0:00:00
Manufacturas de origen agropecuario,San Luis,179.487,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Chaco,64.911,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Corrientes,30.498,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Formosa,11.56,1/1/2008 0:00:00
Manufacturas de origen agropecuario,Misiones,218.446,1/1/2008 0:00:00
Manufacturas de origen industrial,Buenos Aires,12359.289,1/1/2008 0:00:00
Manufacturas de origen industrial,Capital Federal,279.738,1/1/2008 0:00:00
Manufacturas de origen industrial,Córdoba,2040.647,1/1/2008 0:00:00
Manufacturas de origen industrial,Entre Ríos,94.562,1/1/2008 0:00:00
Manufacturas de origen industrial,La Pampa,7.196,1/1/2008 0:00:00
Manufacturas de origen industrial,Santa Fe,1930.15,1/1/2008 0:00:00
